/DIM/ 41.0000	41.0000	41.0000
/MID/ -8.0000	3.0000	-21.0000
/SPACING/ 0.5000
/COM/ -13.3779	1.2274	-17.6977
/RAY/ 1.2537	-2.0242	36.1002	1
/RAY/ 1.6663	-2.0307	34.0062	1
/RAY/ 1.6516	-2.0307	33.9622	1
/RAY/ 1.6369	-2.0307	33.9254	1
/RAY/ 1.6222	-2.0307	33.8961	1
/RAY/ 1.2631	-2.0307	35.5195	1
/RAY/ 1.2497	-2.0307	35.6741	1
/RAY/ 1.6378	-2.0373	33.4791	1
/RAY/ 1.6229	-2.0373	33.4494	1
/RAY/ 1.2592	-2.0373	35.0934	1
/RAY/ 1.2457	-2.0373	35.2499	1
/RAY/ 1.6236	-2.0441	33.0042	1
/RAY/ 1.2970	-2.0441	34.2336	1
/RAY/ 1.2830	-2.0441	34.3722	1
/RAY/ 1.2691	-2.0441	34.5175	1
/RAY/ 1.2553	-2.0441	34.6693	1
/RAY/ 1.2416	-2.0441	34.8277	1
/RAY/ 1.6243	-2.0511	32.5606	1
/RAY/ 1.3077	-2.0511	33.6727	1
/RAY/ 1.2934	-2.0511	33.8062	1
/RAY/ 1.2792	-2.0511	33.9465	1
/RAY/ 1.6251	-2.0583	32.1186	1
/RAY/ 1.3188	-2.0583	33.1173	1
/RAY/ 1.3042	-2.0583	33.2455	1
/RAY/ 1.6258	-2.0658	31.6784	1
/RAY/ 1.6101	-2.0658	31.6548	1
/RAY/ 1.3303	-2.0658	32.5679	1
/RAY/ 1.3154	-2.0658	32.6906	1
/RAY/ 1.6266	-2.0734	31.2400	1
/RAY/ 1.6106	-2.0734	31.2161	1
/RAY/ 1.5946	-2.0734	31.2002	1
/RAY/ 1.3270	-2.0734	32.1416	1
/RAY/ 1.3120	-2.0734	32.2659	1
/RAY/ 1.6112	-2.0812	30.7792	1
/RAY/ 1.5949	-2.0812	30.7631	1
/RAY/ 1.5787	-2.0812	30.7551	1
/RAY/ 1.5624	-2.0812	30.7552	1
/RAY/ 1.3237	-2.0812	31.7174	1
/RAY/ 1.5623	-2.0893	30.3199	1
/RAY/ 1.5458	-2.0893	30.3283	1
/RAY/ 1.5293	-2.0893	30.3449	1
/RAY/ 1.3203	-2.0893	31.2956	1
/RAY/ 1.3049	-2.0893	31.4232	1
/RAY/ 1.5455	-2.0975	29.8952	1
/RAY/ 1.5287	-2.0975	29.9120	1
/RAY/ 1.5121	-2.0975	29.9372	1
/RAY/ 1.4954	-2.0975	29.9707	1
/RAY/ 1.3168	-2.0975	30.8760	1
/RAY/ 1.3012	-2.0975	31.0054	1
/RAY/ 1.4943	-2.1061	29.5408	1
/RAY/ 1.4774	-2.1061	29.5832	1
/RAY/ 1.2975	-2.1061	30.5900	1
/RAY/ 1.4761	-2.1149	29.1562	1
/RAY/ 1.2936	-2.1149	30.1772	1
/RAY/ 1.4747	-2.1239	28.7315	1
/RAY/ 1.4574	-2.1239	28.7838	1
/RAY/ 1.2897	-2.1239	29.7671	1
/RAY/ 1.2736	-2.1239	29.9097	1
/RAY/ 1.4732	-2.1332	28.3093	1
/RAY/ 1.4557	-2.1332	28.3623	1
/RAY/ 1.4208	-2.1332	28.4945	1
/RAY/ 1.4035	-2.1332	28.5735	1
/RAY/ 1.3863	-2.1332	28.6610	1
/RAY/ 1.3021	-2.1332	29.2231	1
/RAY/ 1.2857	-2.1332	29.3598	1
/RAY/ 1.2694	-2.1332	29.5043	1
/RAY/ 1.2533	-2.1332	29.6566	1
/RAY/ 1.4540	-2.1428	27.9435	1
/RAY/ 1.4362	-2.1428	28.0062	1
/RAY/ 1.4186	-2.1428	28.0776	1
/RAY/ 1.4010	-2.1428	28.1578	1
/RAY/ 1.3836	-2.1428	28.2465	1
/RAY/ 1.3662	-2.1428	28.3439	1
/RAY/ 1.3490	-2.1428	28.4496	1
/RAY/ 1.3150	-2.1428	28.6862	1
/RAY/ 1.2982	-2.1428	28.8168	1
/RAY/ 1.2816	-2.1428	28.9554	1
/RAY/ 1.2651	-2.1428	29.1019	1
/RAY/ 1.2488	-2.1428	29.2562	1
/RAY/ 1.3632	-2.1528	27.9337	1
/RAY/ 1.3457	-2.1528	28.0410	1
/RAY/ 1.3284	-2.1528	28.1568	1
/RAY/ 1.3113	-2.1528	28.2810	1
/RAY/ 1.2943	-2.1528	28.4134	1
/RAY/ 1.2774	-2.1528	28.5540	1
/RAY/ 1.2607	-2.1528	28.7025	1
/RAY/ 1.2442	-2.1528	28.8590	1
/RAY/ 1.2651	-2.0110	35.7413	1
/RAY/ 1.2612	-2.0173	35.3109	1
/RAY/ 1.2573	-2.0239	34.8823	1
/RAY/ 1.6240	-2.0305	32.7796	1
/RAY/ 1.6087	-2.0305	32.7568	1
/RAY/ 1.2811	-2.0305	34.1566	1
/RAY/ 1.2671	-2.0305	34.3028	1
/RAY/ 1.2533	-2.0305	34.4556	1
/RAY/ 1.6247	-2.0374	32.3329	1
/RAY/ 1.6093	-2.0374	32.3098	1
/RAY/ 1.3059	-2.0374	33.4526	1
/RAY/ 1.2916	-2.0374	33.5869	1
/RAY/ 1.2773	-2.0374	33.7282	1
/RAY/ 1.2632	-2.0374	33.8762	1
/RAY/ 1.2492	-2.0374	34.0309	1
/RAY/ 1.6255	-2.0445	31.8878	1
/RAY/ 1.6098	-2.0445	31.8644	1
/RAY/ 1.3170	-2.0445	32.8935	1
/RAY/ 1.3024	-2.0445	33.0226	1
/RAY/ 1.2878	-2.0445	33.1587	1
/RAY/ 1.6262	-2.0517	31.4444	1
/RAY/ 1.3136	-2.0517	32.4638	1
/RAY/ 1.2988	-2.0517	32.5946	1
/RAY/ 1.6270	-2.0592	31.0026	1
/RAY/ 1.6109	-2.0592	30.9785	1
/RAY/ 1.3252	-2.0592	31.9109	1
/RAY/ 1.3101	-2.0592	32.0361	1
/RAY/ 1.6115	-2.0669	30.5383	1
/RAY/ 1.5951	-2.0669	30.5220	1
/RAY/ 1.5787	-2.0669	30.5139	1
/RAY/ 1.5624	-2.0669	30.5141	1
/RAY/ 1.5460	-2.0669	30.5224	1
/RAY/ 1.5296	-2.0669	30.5389	1
/RAY/ 1.3218	-2.0669	31.4837	1
/RAY/ 1.3065	-2.0669	31.6106	1
/RAY/ 1.5622	-2.0748	30.0753	1
/RAY/ 1.5456	-2.0748	30.0837	1
/RAY/ 1.5290	-2.0748	30.1005	1
/RAY/ 1.5124	-2.0748	30.1255	1
/RAY/ 1.3184	-2.0748	31.0586	1
/RAY/ 1.3028	-2.0748	31.1873	1
/RAY/ 1.5284	-2.0830	29.6640	1
